artist,top
Oasis,0.052640374331550804
The Rolling Stones,0.0768314472900536
David Bowie,0.17555373256767842
Jimi Hendrix,0.7286914765906363
AC/DC,0.39947780678851175
The Beatles,0.056807935076645624
Rage Against The Machine,0.3459335624284078
The White Stripes,0.13121019108280255
PJ Harvey,0.12100611828687967
The Doors,0.05063291139240506
The Velvet Underground,0.343503937007874
Massive Attack,0.472992700729927
Nirvana,0.3061938061938062
Kula Shaker,0.1675146771037182
System Of A Down,0.12541436464088399
The Stooges,0.13114754098360656
The Verve,0.09801324503311258
The Stone Roses,0.4227027027027027
The Smashing Pumpkins,0.08392806166143306
Harry Gregson-Williams,0
London Grammar,0.10454985479186835
Linkin Park,0.1638655462184874
Radiohead,0.14518550289513188
Simon & Garfunkel,0.20292887029288703
Pixies,0.17080018717828732
Sleigh Bells,0.1408
Jefferson Airplane,0.8724373576309795
Modulogeek,1
Kikagaku Moyo,0.4697754749568221
Sonic Youth,0.1704697986577181
Cocteau Twins,0.2634989200863931
Stereophonics,0.16759776536312848
Indochine,0.14118895966029724
Iggy Pop,0.8492063492063492
Ian Brown,0.5899581589958159
Led Zeppelin,0.08454312553373185
Alice In Chains,0.4166666666666667
Rise Against,0.15108695652173912
Fleetwood Mac,0.34540859309182814
Pink Floyd,0.2542432814710042
Cage The Elephant,0.17750826901874311
The Brian Jonestown Massacre,0.23805309734513275
Cream,0.6555023923444976
New Order,0.0549558390578999
Blur,0.1471990464839094
Green Day,0.16475354490209318
The Who,0.625
Kasabian,0.16515276630883569
Yann Tiersen,0.521551724137931
Lynyrd Skynyrd,0.5871559633027523
George Harrison,0.6176470588235294
Magic Sword,1
Red Hot Chili Peppers,0.2336108220603538
Billy Talent,0.18693009118541035
The Charlatans,0.3293838862559242
Orelsan,0
Temples,0.17525773195876287
Carpenter Brut,0.7128205128205128
Todd Masten,0.01597444089456869
Arctic Monkeys,0.3502415458937198
The Knife,0.4098939929328622
Patti Smith,0.21087786259541985
M|O|O|N,1
Fever Ray,0.2972222222222222
Perturbator,0.7361563517915309
blink-182,0.20015948963317384
Suede,0.10366972477064221
Richard Ashcroft,0.352112676056338
Casseurs Flowters,0.5843694493783304
Light Club,1
Crosby, Stills, Nash & Young,0.7194492254733219
Muse,0.23482849604221637
Mitch Murder,1
Eminem,0.5
Jeff Buckley,0.9553072625698324
The La's,0
Sum 41,0.19014084507042253
Coldplay,0.11409395973154363
Interpol,0.6373056994818653
my bloody valentine,0
Sex Pistols,0.11462450592885376
Scattle,0.9532163742690059
America,1
Mega Drive,1
Fatboy Slim,0.5985915492957746
Michael Jackson,0.8315789473684211
Weezer,0.5719557195571956
Queen,0.5643564356435643
The Raconteurs,0.4603174603174603
The Stranglers,0.8451612903225807
Leonard Cohen,0.42016806722689076
Primal Scream,0.7006369426751592
Twenty One Pilots,0.24390243902439024
Skread,1
Liam Gallagher,0.7752808988764045
Dire Straits,0.8641975308641975
My Chemical Romance,0.35526315789473684
