artist,pop
1995,50
Nekfeu,76
G-Eazy,82
Piano Novel,52
Alonzo,70
Joep Beving,64
Halsey,87
Calvin Harris,86
Georges Brassens,58
DMX,75
Hugo TSR,57
MZ,58
Ocho,38
Bigflo & Oli,62
Tristam,58
Logic,82
Disiz,56
Chamillionaire,63
Damso,78
System Of A Down,80
Dr. Dre,82
L.E.J,53
Infinit',47
Mark Ronson,79
Guizmo,59
Tata Simonyan,34
Lomepal,70
Eminem,94
Kofs,71
IAM,58
Alpha 5.20,43
Casseurs Flowters,60
Caballero & JeanJass,53
Can't Stop Won't Stop,38
50 Cent,85
R. Kelly,71
Hailee Steinfeld,76
Dylan Francis,35
Orelsan,81
Alpha Wann,66
S-Crew,56
Cypress Hill,72
Slimane,66
Hollywood Undead,74
Soprano,69
Farewell, My Love,22
Jul,85
Lino,53
Piotr Miteska,43
Rilès,66
Major Lazer,79
Drake,98
LunchMoney Lewis,59
Suprême NTM,56
Niska,78
Russ,81
DJ Abdel,50
Tengo John,39
Dirk Maassen,60
Snoop Dogg,86
Django,59
Mauro Cangemi,39
Grobert,32
Stupeflip,54
Mayhem,51
Nikky Santoro,39
Nate Dogg,79
Imagine Dragons,92
The Sugarhill Gang,56
PNL,77
Stromae,76
Jok'air,67
Sadek,62
Saga Rosen,34
Billy Frame,27
Freeze corleone,69
Roy Jones Jr.,61
Desiigner,69
Manon Clément,38
Youlu,19
Lorenzo,63
JoeyStarr,44
MC Solaar,57
Macklemore & Ryan Lewis,78
will.i.am,77
Rocé,28
PRIME,52
Xzibit,69
Charlie Key,49
Billie Eilish,93
Leonard Anderson,47
Grand Corps Malade,67
Mister V,62
Sinsémilia,46
Josman,67
Sneazzy,62
Dreyma,43
OBOY,75
KIKESA,58
Elba,39
Demi-Portion,46
Kuba Oms,34
Dieudonne,31
Novo Talos,46
Twenty One Pilots,85
Fort Minor,65
Luciano,79
Fatal Bazooka,50
Elliot Ziegler,48
DJ Fresh,62
2 Chainz,82
Black Hippy,50
OMI,67
Maes,78
PLK,77
Kalash Criminel,67
David Guetta,90
Michael Bublé,94
Yo Gotti,73
Senamo,40
Spider ZED,50
Kekra,61
I.K (TLF),41
La Smala,37
Koral Banko,36
Ever So Blue,62
Deen Burbigo,54
Ceilidh,39
Kari Bin,44
Jean Petri,40
Post Malone,92
Leslie Jones,34
Lil Pump,72
Ray Charles,69
Rida Radar,40
Pentakill,63
Seth Gueko,51
Teriyaki Boyz,61
Res Turner,12
Goratie,41
Haristone,50
Dinos,68
Vald,68
Una Luna,43
Sigimund,46
SCH,77
Demi Portion,46
Lil Nas X,91
Gringe,62
Alkpote,55
1PLIKÉ140,66
Sopico,59
Moha La Squale,61
Sofiane,68
Regina Mira,47
Hornet La Frappe,69
Coolax,26
Hooss,48
Luv Resval,64
Guru,55
Saule,33
Samuel Lindon,47
Fifth Harmony,74
Aladin 135,46
Adam Lambert,67
Booba,75
Angèle,79
Eve,71
Lo Mimieux,56
Niro,68
Leo Finka,36
Davodka,53
Jean-Michel Blais,52
Johannes Bornlöf,62
Rhiannon Bannenberg,38
13 Block,57
Le Dé,47
The Weeknd,97
Médine,55
Jazzy Bazz,55
Heuss L'enfoiré,69
Gabriel Parker,39
A2h,60
Charli XCX,81
Max Swan,36
Kalash,65
2Pac,82
Big Sean,84
Tonie Green,33
Jeff Bright Jr,31
Luidji,61
Fellows,34
Berywam,43
Espiiem,26
Bon Entendeur,63
Juliana,32
Djadja & Dinaz,74
Hayce Lemsi,56
JAY-Z,87
Lefa,64
An'Om,52
Hiroshi Yamazaki,36
Oskar Schuster,49
New World Sound,46
Roméo Elvis,66
Greg Barley,35
Fayçal,29
Dooz Kawa,50
Youssoupha,62
Swift Guad,49
RK,64
Evolution of Stars,34
Marshmello,87
Wiz Khalifa,87
League of Legends,88
Otto Wahl,40
Linkin Park,86
L'Or du Commun,47
Kanye West,95
Leyland Rogers,39
Skillet,77
Oxmo Puccino,59
Kaaris,68
Gauvain Sers,48
Hilda Atkins,26
Georgio,65
null,78
Kamikaz,58
Columbine,61
Dosseh,62
Oneke,42
Vladimir Cauchemar,61
Lord Esperanza,48
Age Of Spades,32
Rim'K,68
Vincent & A Secret,51
DA Uzi,68
Silentó,54
Sam Eber,35
Caneda,40
Népal,63
Kylian Rebour,45
Musicboxes,30
Swing,50
Francis Cabrel,63
Charles Bolt,58
Fabrizio Paterlini,67
Saeko Seki,30
Arden Forest,45
Youv Dee,56
Jean Permentier,32
Doums,57
Mia Strass,32
Vin's,44
Calogero,61
Russel F Jr,24
Irma Kantola,34
Enhancer,32
Meek Mill,82
PSO THUG,46
Charles Aznavour,66
Slimka,46
Ana Olgica,50
S.Pri Noir,65
Mi Qani Hogi,19
XXXTENTACION,91
Rebour,31
Lil Wayne,90
Dj Weedim,44
Jón & Jálfur,83
Kendrick Lamar,90
404Billy,47
D.ACE,48
Hippie Sabotage,74
Intrinsic Focus,23
Ateyaba,51
Brasco & El Matador,38
Diddi Trix,47
Peter Sandberg,59
ICO,59
K/DA,72
B-NØM,35
Ashkidd,56
J. Cole,89
Little Richard,61
Ed Sheeran,97
DTF,66
Eddy de Pretto,63
Akhenaton,51
Therapie TAXI,66
Larry,63
Reese Willis,36
Kacem Wapalek,42
Michel Brown,33
Jaden,76
Caballero,53
Benny Treskow,38
Biffty,41
Karin Borg,43
Logic?,82
TSR Crew,38
Relajar,34
Maxence,51
Julien Doré,64
U2,81
Flume,75
Ninho,87
Gavin Luke,61
James Spiteri,43
Mavis Marchena,29
Tomawok,29
Mac Tyer,57
Leto,73
Amity Cadet,37
Di-Meh,49
Zola,67
I Woks,34
GIMS,77
Sinik,53
Alexis Ffrench,67
Krisy,50
Gradur,64
Wejdene,59
Kendji Girac,67
Diam's,58
James Brown & The Famous Flames,69
Robert Gafforelli,45
SNIPER,54
Hamza,71
La Secte Phonétik,42
Léon Branche,48
Rag'n'Bone Man,73
NK-67,27
Take a Mic,43
Rémy,57
Lacrim,74
Alexandra Streliski,62
Biba Dupont,58
Hippocampe Fou,42
Matti Aalto,44
Kygo,84
Lunatic,50
Type Beat,39
Kaarism,37
Etienne Balestre,43
Olivia Belli,55
Nusky,44
Joel Lyssarides,49
Julius Aston,44
Kery James,52
Pamela Howland,21
David Fischbein,47
Koba LaD,75
Hermann,31
Drowning Pool,65
Alexander Panagopoulos,36
Denzel Curry,77
Lorage,38
Marteria,67
Hatik,68
Layla Frost,34
Timal,69
Travis Scott,93
Giuseppe Galvetti,35
Set&Match,51
Soso Maness,71
2zer,46
Zamdane,56
Our Last Night,70
MHD,69
Laylow,72
Kyran Martin,27
21 Savage,89
Heinz Goldblatt,38
